1,inserção,mesa,100100,Sem bloqueio,20/06/2019 23:29:39
1,edição,atualiazou300100 - gsdgdsg para 300100 - cadeira,gsdgdsg,300100,23/06/2019 00:53:35
1,edição,atualiazou300100 - gsdgdsg para 300100 - cadeira,gsdgdsg,300100,23/06/2019 00:54:00
1,edição,atualiazou300100 - gsdgdsg para 300100 - cadeira,gsdgdsg,300100,23/06/2019 00:54:22
1,edição,atualiazou300100 - gsdgdsg para 300100 - cadeira,gsdgdsg,300100,23/06/2019 00:54:30
1,edição,atualiazou300100 - gsdgdsg para 300100 - cadeira,gsdgdsg,300100,23/06/2019 00:54:38
1,edição,atualiazou500 - GARRAFA para 300100 - gsdgdsg,GARRAFA,500,23/06/2019 00:54:51
1,edição,atualiazou300100 - GARRAFA para 300100 - gsdgdsg,GARRAFA,300100,23/06/2019 00:55:00
1,edição,atualiazou500 - GARRAFA para 300100 - GARRAFA,GARRAFA,500,23/06/2019 00:55:07
1,edição,atualiazou300100 - BANCO para 300100 - GARRAFA,BANCO,300100,23/06/2019 00:55:14
1,edição,atualiazou620 - MAO para 300100 - BANCO,MAO,620,23/06/2019 00:55:26
1,edição,atualiazou300100 - TE< para 300100 - BANCO,TE<,300100,23/06/2019 00:58:15
1,edição,atualiazou300100 - tem para 300100 - BANCO,tem,300100,23/06/2019 00:58:26
1,edição,atualiazou300100 - banco de taco para 300100 - BANCO,banco de taco,300100,23/06/2019 00:59:47
1,edição,atualiazou300100 - banco de taco para 300100 - BANCO,banco de taco,300100,23/06/2019 01:00:28
1,inserção,inseriu 23232 - CADA,CADA,23232,23/06/2019 01:00:55
1,inserção,inseriu 78965 - CHINELO,CHINELO,78965,23/06/2019 01:01:12
1,edição,atualiazou23232 - CAsA para 23232 - CADA,CAsA,23232,23/06/2019 01:01:23
1,edição,atualiazou78965 - CHIN para 78965 - CHINELO,CHIN,78965,23/06/2019 01:03:51
1,edição,atualiazou78965 - CHIN para 78965 - CHINELO,CHIN,78965,23/06/2019 01:05:45
1,edição,atualiazou78965 - CHIN para 78965 - CHINELO,CHIN,78965,23/06/2019 01:06:38
1,edição,atualiazou500 - MEIA para 78965 - CHINELO,MEIA,500,23/06/2019 01:07:41
1,edição,atualiazou500 - MEIA para 78965 - CHINELO,MEIA,500,23/06/2019 01:09:16
1,edição,atualiazou500 - MEIA para 78965 - CHINELO,MEIA,500,23/06/2019 01:09:40
1,edição,atualiazou500 - MEIA para 78965 - CHINELO,MEIA,500,23/06/2019 01:09:54
1,edição,atualiazou78965 - CHINE para 78965 - CHINELO,CHINE,78965,23/06/2019 01:10:13
1,edição,atualiazou78965 - CHINE para 78965 - CHINELO,CHINE,78965,23/06/2019 01:10:28
1,edição,atualiazou78965 - CHINE para 78965 - CHINELO,CHINE,78965,23/06/2019 01:13:47
1,edição,atualiazou78965 - CHINE para 78965 - CHINELO,CHINE,78965,23/06/2019 01:15:46
1,edição,atualiazou78965 - CHINE para 78965 - CHINELO,CHINE,78965,23/06/2019 01:16:55
1,edição,atualiazou78965 - CHINE para 78965 - CHINELO,CHINE,78965,23/06/2019 01:17:41
1,edição,atualiazou78965 - CHINE para 78965 - CHINELO,CHINE,78965,23/06/2019 01:18:05
1,edição,atualiazou78965 - CHINE para 78965 - CHINELO,CHINE,78965,23/06/2019 01:18:23
1,edição,atualiazou78965 - CHINE para 78965 - CHINELO,CHINE,78965,23/06/2019 01:19:22
1,edição,atualiazou78965 - CHINE para 78965 - CHINELO,CHINE,78965,23/06/2019 01:20:47
1,edição,atualiazou78965 - CHINE para 78965 - CHINELO,CHINE,78965,23/06/2019 01:21:09
1,edição,atualiazou78965 - CHINE para 78965 - CHINELO,CHINE,78965,23/06/2019 01:21:33
1,edição,atualiazou78965 - CHINE para 78965 - CHINELO,CHINE,78965,23/06/2019 01:21:51
1,edição,atualiazou78965 - CHINE para 78965 - CHINELO,CHINE,78965,23/06/2019 01:22:22
1,edição,atualiazou78965 - CHINE para 78965 - CHINELO,CHINE,78965,23/06/2019 01:22:45
1,edição,atualiazou78965 - CHINE para 78965 - CHINELO,CHINE,78965,23/06/2019 01:23:01
1,edição,atualiazou7894654321 - cnielao para 78965 - CHINELO,cnielao,7894654321,23/06/2019 01:24:03
1,edição,atualiazou7894654321 - cnielao para 78965 - CHINELO,cnielao,7894654321,23/06/2019 01:24:31
1,inserção,inseriu 100200 - CADEIRAO,CADEIRAO,100200,23/06/2019 08:01:15
1,inserção,inseriu 200140 - CHINELAO,CHINELAO,200140,23/06/2019 08:01:26
1,edição,atualiazou300 - MESA para 78965 - CHINELO,MESA,300,23/06/2019 08:01:44
1,edição,atualiazou300 - MESA para 78965 - CHINELO,MESA,300,23/06/2019 08:02:24
1,edição,atualiazou300 - MESA para 78965 - CHINELO,MESA,300,23/06/2019 08:02:35
1,edição,atualiazou300 - MESA para 78965 - CHINELO,MESA,300,23/06/2019 08:03:48
1,edição,atualiazou300 - MESA para 78965 - CHINELO,MESA,300,23/06/2019 08:04:25
1,edição,atualiazou300 - MESA para 78965 - CHINELO,MESA,300,23/06/2019 08:07:41
1,edição,atualiazou300 - MESA para 78965 - CHINELO,MESA,300,23/06/2019 08:09:41
1,edição,atualiazou300 - MESA para 78965 - CHINELO,MESA,300,23/06/2019 08:10:13
1,edição,atualiazou300 - MESA para 78965 - CHINELO,MESA,300,23/06/2019 08:10:41
1,edição,atualiazou300 - MESA para 78965 - CHINELO,MESA,300,23/06/2019 08:14:49
1,edição,atualiazou500 - bacia para 100200 - CADEIRAO,bacia,500,23/06/2019 08:15:26
1,edição,atualiazou500 - bacia para 100200 - CADEIRAO,bacia,500,23/06/2019 08:17:04
1,edição,atualiazou500 - bacia para 100200 - CADEIRAO,bacia,500,23/06/2019 08:17:29
1,edição,atualiazou500 - bacia para 100200 - CADEIRAO,bacia,500,23/06/2019 08:18:11
1,edição,atualiazou500 - bacia para 100200 - CADEIRAO,bacia,500,23/06/2019 08:18:50
1,edição,atualiazou500 - bacia para 100200 - CADEIRAO,bacia,500,23/06/2019 08:20:21
1,edição,atualiazou500 - bacia para 100200 - CADEIRAO,bacia,500,23/06/2019 08:20:34
1,edição,atualiazou600 - CHINELO para 500 - CHINELO,CHINELO,600,23/06/2019 08:22:18
1,inserção,inseriu 4079 - CADEIRA,CADEIRA,4079,23/06/2019 08:23:31
1,edição,atualiazou100 - CADEIRA para 4079 - CADEIRA,CADEIRA,100,23/06/2019 08:23:42
1,edição,atualiazou100 - CADEIRA para 4079 - CADEIRA,CADEIRA,100,23/06/2019 08:24:18
1,edição,atualiazou100 - CADEIRA para 4079 - CADEIRA,CADEIRA,100,23/06/2019 08:24:48
1,edição,atualiazou100 - CADEIRA para 4079 - CADEIRA,CADEIRA,100,23/06/2019 08:26:26
1,edição,atualiazou100 - CADEIRA para 4079 - CADEIRA,CADEIRA,100,23/06/2019 08:26:46
1,edição,atualiazou100 - CADEIRA para 4079 - CADEIRA,CADEIRA,100,23/06/2019 08:30:47
1,edição,atualiazou100 - prego para 4079 - CADEIRA,prego,100,23/06/2019 08:35:22
1,edição,atualiazou555 - CADEIRA para 4079 - CADEIRA,CADEIRA,555,23/06/2019 08:35:47
1,edição,atualiazou555 - CADEIRA para 4079 - CADEIRA,CADEIRA,555,23/06/2019 08:36:13
1,edição,atualiazou555 - CADEIRA para 4079 - CADEIRA,CADEIRA,555,23/06/2019 08:37:13
1,edição,atualiazou555 - CADEIRA para 4079 - CADEIRA,CADEIRA,555,23/06/2019 08:38:02
1,edição,atualiazou555 - CADEIRA para 4079 - CADEIRA,CADEIRA,555,23/06/2019 08:41:24
1,edição,atualiazou555 - CADEIRA para 4079 - CADEIRA,CADEIRA,555,23/06/2019 08:42:08
1,edição,atualiazou555 - CADEIRA para 4079 - CADEIRA,CADEIRA,555,23/06/2019 08:43:07
1,edição,atualiazou555 - CADEIRA para 4079 - CADEIRA,CADEIRA,555,23/06/2019 08:43:15
1,edição,atualiazou555 - CADEIRA para 4079 - CADEIRA,CADEIRA,555,23/06/2019 08:43:36
1,edição,atualiazou555 - CADEIRA para 4079 - CADEIRA,CADEIRA,555,23/06/2019 08:43:57
1,edição,atualiazou555 - CADEIRA para 4079 - CADEIRA,CADEIRA,555,23/06/2019 08:44:42
1,edição,atualiazou555 - CADEIRA para 4079 - CADEIRA,CADEIRA,555,23/06/2019 08:45:19
1,edição,atualiazou555 - CADEIRA para 4079 - CADEIRA,CADEIRA,555,23/06/2019 08:45:57
1,edição,atualiazou555 - CADEIRA para 4079 - CADEIRA,CADEIRA,555,23/06/2019 08:46:30
1,edição,atualiazou555 - CADEIRA para 4079 - CADEIRA,CADEIRA,555,23/06/2019 08:46:39
1,edição,atualiazou555 - CADEIRA para 4079 - CADEIRA,CADEIRA,555,23/06/2019 08:47:03
1,edição,atualiazou555 - CADEIRA para 4079 - CADEIRA,CADEIRA,555,23/06/2019 08:48:15
1,edição,atualiazou555 - CADEIRA para 4079 - CADEIRA,CADEIRA,555,23/06/2019 08:48:36
1,edição,atualiazou555 - CADEIRA para 4079 - CADEIRA,CADEIRA,555,23/06/2019 08:48:45
1,edição,atualiazou555 - CADEIRA para 4079 - CADEIRA,CADEIRA,555,23/06/2019 08:49:25
1,edição,atualiazou555 - CADEIRA para 4079 - CADEIRA,CADEIRA,555,23/06/2019 08:49:47
1,edição,atualiazou555 - CADEIRA para 4079 - CADEIRA,CADEIRA,555,23/06/2019 08:50:35
1,edição,atualiazou555 - CADEIRA para 4079 - CADEIRA,CADEIRA,555,23/06/2019 08:51:54
1,edição,atualiazou555 - CADEIRA para 4079 - CADEIRA,CADEIRA,555,23/06/2019 08:52:02
1,edição,atualiazou555 - CADEIRA para 4079 - CADEIRA,CADEIRA,555,23/06/2019 09:00:06
1,inserção,inseriu 100 - MEsa,MEsa,100,23/06/2019 09:02:35
1,inserção,inseriu 200 - CADEIRA,CADEIRA,200,23/06/2019 09:02:43
1,inserção,inseriu 400 - BANCO,BANCO,400,23/06/2019 09:02:51
1,edição,atualiazou600 - CADEIRA para 200 - CADEIRA,CADEIRA,600,23/06/2019 09:03:23
1,edição,atualiazou600 - CADEIRA para 200 - CADEIRA,CADEIRA,600,23/06/2019 09:03:39
1,edição,atualiazou600 - CADEIRA para 200 - CADEIRA,CADEIRA,600,23/06/2019 09:03:55
1,edição,atualiazou600 - CADEIRA para 200 - CADEIRA,CADEIRA,600,23/06/2019 09:05:14
1,edição,atualiazou600 - CADEIRA para 200 - CADEIRA,CADEIRA,600,23/06/2019 09:06:07
1,edição,atualiazou600 - CADEIRA para 200 - CADEIRA,CADEIRA,600,23/06/2019 09:07:19
1,edição,atualiazou600 - CADEIRA para 200 - CADEIRA,CADEIRA,600,23/06/2019 09:07:41
1,edição,atualiazou600 - CADEIRA para 200 - CADEIRA,CADEIRA,600,23/06/2019 09:08:28
1,edição,atualiazou600 - CADEIRA para 200 - CADEIRA,CADEIRA,600,23/06/2019 09:09:36
1,edição,atualiazou600 - CADEIRA para 200 - CADEIRA,CADEIRA,600,23/06/2019 09:09:43
1,edição,atualiazou600 - CADEIRA para 200 - CADEIRA,CADEIRA,600,23/06/2019 09:11:24
1,edição,atualiazou600 - CADEIRA para 200 - CADEIRA,CADEIRA,600,23/06/2019 09:11:46
1,edição,atualiazou980 - BANCO para 400 - BANCO,BANCO,980,23/06/2019 09:12:01
1,edição,atualiazou630 - MESA para 100 - MEsa,MESA,630,23/06/2019 09:12:14
1,edição,atualiazou200 - MEsa para 630 - MEsa,MEsa,200,23/06/2019 09:17:12
1,edição,atualiazou200 - MESINHA para 200 - MEsa,MESINHA,200,23/06/2019 09:17:20
1,edição,atualiazou400 - cadeira para 600 - CADEIRA,cadeira,400,23/06/2019 09:17:30
